web-scraper-order,web-scraper-start-url,address,mls,description,beds,baths,buildingsqft,lot _sqft,stories,garage,yearbuilt,price,pool,zipcode
1608476410-427,https://www.har.com/zipcode_77005/realestate/for_sale,"2304 Albans Road A, Houston, TX 77005",77704892,"Townhouse/Condo - Townhouse Property, Traditional Style  in Southampton Place Ext Subdivision  in Rice/Museum District (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,879","3,000",3,2 Garage(s) / Attached,1998,"824,900",FALSE,77005
1608476410-330,https://www.har.com/zipcode_77005/realestate/for_sale,"3727 University Boulevard, Southside Place, TX 77005",87439070,"Single-Family Property, Other Style,Traditional Style  in Southside Place Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),5 Full  Bath(s),"4,305","6,150",2,2 Garage(s) / Attached,2020,"2,199,000",FALSE,77005
1608476410-311,https://www.har.com/zipcode_77005/realestate/for_sale,"3778 Nottingham Street, West University Place, TX 77005",66115580,"Single-Family Property, Contemporary/Modern Style  in Sunset Terrace Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),5 Full & 1 Half Bath(s),"5,187","7,440",2,2 Garage(s) / Attached,2020,"2,795,000",FALSE,77005
1608476410-342,https://www.har.com/zipcode_77005/realestate/for_sale,"3415 Amherst Street, West University Place, TX 77005",58336114,"Single-Family Property, Traditional Style  in West University Place Sec 02 Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),,"7,125",2,,,"1,900,000",TRUE,77005
1608476410-469,https://www.har.com/zipcode_77005/realestate/for_sale,"5210 Weslayan Street #205, Houston, TX 77005",24747863,"Townhouse/Condo - Condominium Property, Contemporary/Modern Style  in Weslayan Condo Subdivision  in West University/Southside Area (Market Area)",2 Bed(s),1 Full  Bath(s),992,,1,1 Garage(s) / Attached,,"208,000",TRUE,77005
1608476410-341,https://www.har.com/zipcode_77005/realestate/for_sale,"3103 Amherst, West University Place, TX 77005",45762059,"Single-Family Property, Traditional Style  in Rice Court Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),5 Full & 1 Half Bath(s),"4,252","6,250",3,2 Garage(s) / Detached,2015,"1,949,000",FALSE,77005
1608476410-334,https://www.har.com/zipcode_77005/realestate/for_sale,"3011 Amherst Street, Houston, TX 77005",16254821,"Single-Family Property, Contemporary/Modern Style  in Rice Court Add Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"4,416","6,250",2,1 Garage(s) / Attached,2015,"2,100,000",TRUE,77005
1608476410-371,https://www.har.com/zipcode_77005/realestate/for_sale,"6308 Community Drive, Houston, TX 77005",83990554,"Single-Family Property, Contemporary/Modern,Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"3,759","5,500",2,2 Garage(s) / Attached,2020,"1,519,000",FALSE,77005
1608476410-394,https://www.har.com/zipcode_77005/realestate/for_sale,"4226 Byron Street, West University Place, TX 77005",83047702,"Single-Family Property, Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),4 Full & 1 Half Bath(s),"3,653","5,000",2,2 Garage(s) / Attached,2007,"1,250,000",FALSE,77005
1608476410-424,https://www.har.com/zipcode_77005/realestate/for_sale,"4242 Law Street, Houston, TX 77005",16497595,"Single-Family Property, Traditional Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),2 Full & 1 Half Bath(s),"2,676","5,000",2,2 Garage(s) / Detached,1991,"875,000",FALSE,77005
1608476410-439,https://www.har.com/zipcode_77005/realestate/for_sale,"3926 Drake Street, Houston, TX 77005",4605848,"Single-Family Property, Ranch Style  in Montclair Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),2 Full  Bath(s),"1,957","7,560",1,1 Garage(s) / Detached,1952,"725,000",FALSE,77005
1608476410-390,https://www.har.com/zipcode_77005/realestate/for_sale,"3812 Southwestern Street, Houston, TX 77005",30388597,"Single-Family Property, Traditional Style  in Collegeview Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),NA,"5,000",2,2 Garage(s) / Detached,2001,"1,289,000",FALSE,77005
1608476410-401,https://www.har.com/zipcode_77005/realestate/for_sale,"4108 Emory Avenue, Houston, TX 77005",32689476,"Single-Family Property, Contemporary/Modern Style  in College Court Place West Univ Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,454","5,000",2,2 Garage(s) / Attached,2001,"1,195,000",FALSE,77005
1608476410-448,https://www.har.com/zipcode_77005/realestate/for_sale,"4002 Milton Street, West University Place, TX 77005",62333150,"Single-Family Property, Traditional Style  in Mathews Place Subdivision  in West University/Southside Area (Market Area)",2 Bed(s),1 Full  Bath(s),"1,344","5,728",1,2 Garage(s) / Detached,1940,"650,000",FALSE,77005
1608476410-420,https://www.har.com/zipcode_77005/realestate/for_sale,"2302 Wroxton Road, Houston, TX 77005",76820081,"Single-Family Property, Traditional Style  in Southampton Place Extension Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),2 Full & 1 Half Bath(s),"3,846","6,120",2,3 Garage(s) / Detached,1925,"929,000",FALSE,77005
1608476410-318,https://www.har.com/zipcode_77005/realestate/for_sale,"3752 Jardin Street, Houston, TX 77005",98235358,"Single-Family Property, Traditional Style  in Southside Place Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),6 Full  Bath(s),"5,024","6,250",3,2 Garage(s) / Attached,2018,"2,600,000",FALSE,77005
1608476410-364,https://www.har.com/zipcode_77005/realestate/for_sale,"3773 Sunset Boulevard, West University Place, TX 77005",87013897,"Single-Family Property, Traditional Style  in Sunset Terrace Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,184","7,440",2,2 Garage(s) / Detached,1940,"1,550,000",FALSE,77005
1608476410-423,https://www.har.com/zipcode_77005/realestate/for_sale,"4016 Villanova Street, West University Place, TX 77005",50570854,"Single-Family Property, Traditional Style  in Collegeview Subdivision  in West University/Southside Area (Market Area)",3-4  Bed(s),3 Full & 1 Half Bath(s),"1,684",NA,2,"5,000 Lot Sqft.",Pool,"895,000",FALSE,77005
1608476410-437,https://www.har.com/zipcode_77005/realestate/for_sale,"4260 Dartmouth Avenue, West University Place, TX 77005",14016244,"Single-Family Property, Traditional Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",2 Bed(s),1 Full  Bath(s),"1,287","5,000",1,2 Garage(s) / Detached,1945,"749,998",FALSE,77005
1608476410-362,https://www.har.com/zipcode_77005/realestate/for_sale,"1727 Sunset Boulevard, Houston, TX 77005",4939727,"Townhouse/Condo - Townhouse Property, English Style  in Cheyne Walk Subdivision  in Rice/Museum District (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"4,394","2,604",4,3 Garage(s) / Attached,2006,"1,589,999",FALSE,77005
1608476410-361,https://www.har.com/zipcode_77005/realestate/for_sale,"3782 Nottingham Street, West University Place, TX 77005",69820377,"Single-Family Property, Traditional Style  in Sunset Terrace Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),4 Full & 1 Half Bath(s),"4,081","6,510",2,3 Garage(s) / Attached,1998,"1,599,000",TRUE,77005
1608476410-346,https://www.har.com/zipcode_77005/realestate/for_sale,"3806 Northwestern Street, West University Place, TX 77005",69936328,"Single-Family Property, Contemporary/Modern,Ranch,Traditional Style  in Collegeview Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),5 Full & 1 Half Bath(s),"4,252","6,000",2,2 Garage(s) / Attached,2020,"1,799,000",FALSE,77005
1608476410-344,https://www.har.com/zipcode_77005/realestate/for_sale,"3006 Plumb Street, West University Place, TX 77005",97086011,"Single-Family Property, Contemporary/Modern Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"3,777","5,250",2,2 Garage(s) / Attached,2021,"1,810,000",FALSE,77005
1608476410-299,https://www.har.com/zipcode_77005/realestate/for_sale,"2 Longfellow Lane, Houston, TX 77005",27253216,"Single-Family Property, English,Georgian,Traditional Style  in Shadyside Subdivision  in Rice/Museum District (Market Area)",5-6  Bed(s),6 Full & 3 Half Bath(s),"12,808",NA,2,3 Garage(s) / Oversized,1921,"10,900,000",TRUE,77005
1608476410-319,https://www.har.com/zipcode_77005/realestate/for_sale,"3401 Robinhood Street, Houston, TX 77005",10755490,"Single-Family Property, French,Traditional Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),4 Full & 1 Half Bath(s),"5,238","11,250",2,2 Garage(s) / Oversized,1988,"2,575,000",TRUE,77005
1608476410-322,https://www.har.com/zipcode_77005/realestate/for_sale,"2134 Tangley Street, Houston, TX 77005",61689601,"Single-Family Property, Contemporary/Modern Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",4-5  Bed(s),5 Full & 1 Half Bath(s),"5,228","6,200",2,1 Garage(s) / Attached,2021,"2,450,000",FALSE,77005
1608476410-403,https://www.har.com/zipcode_77005/realestate/for_sale,"4208 Oberlin, West University Place, TX 77005",18642646,"Single-Family Property, Georgian,Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),4 Full & 1 Half Bath(s),"3,943","5,000",2,2 Garage(s) / Attached,1995,"1,194,000",FALSE,77005
1608476410-348,https://www.har.com/zipcode_77005/realestate/for_sale,"4212 Southwestern Street, Houston, TX 77005",69587603,"Single-Family Property, Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"4,366","6,250",2,2 Garage(s) / Attached,2016,"1,799,000",FALSE,77005
1608476410-463,https://www.har.com/zipcode_77005/realestate/for_sale,"4010 Childress Street, Houston, TX 77005",98589850,"Townhouse/Condo - Townhouse Property, Traditional Style  in Montclair R/p Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"2,212","2,058",3,2 Garage(s) / Attached,1999,"419,500",FALSE,77005
1608476410-471,https://www.har.com/zipcode_77005/realestate/for_sale,"4041 Drake Street #206, Houston, TX 77005",46035308,"Townhouse/Condo - Condominium Property, Traditional Style  in Oaks At West University Subdivision  in West University/Southside Area (Market Area)",2 Bed(s),1 Full  Bath(s),802,NA,1,"56,121 Lot Sqft.",Pool,"165,000",FALSE,77005
1608476410-425,https://www.har.com/zipcode_77005/realestate/for_sale,"4123 Purdue Street A, Houston, TX 77005",17445134,"Townhouse/Condo - Townhouse Property, Traditional Style  in Hutchinson 06-purdue Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,935","2,500",3,2 Garage(s) / Attached,2004,"835,000",FALSE,77005
1608476410-368,https://www.har.com/zipcode_77005/realestate/for_sale,"2714 Werlein Avenue, West University Place, TX 77005",25379687,"Single-Family Property, Mediterranean Style  in Belle Court Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"4,385","6,100",2,2 Garage(s) / Attached,2006,"1,525,000",TRUE,77005
1608476410-413,https://www.har.com/zipcode_77005/realestate/for_sale,"4219 Law Street, West University Place, TX 77005",52289557,"Single-Family Property, Traditional Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",3-4  Bed(s),2 Full & 1 Half Bath(s),"3,449","5,000",2,2 Garage(s) / Attached,1998,"1,000,000",FALSE,77005
1608476410-406,https://www.har.com/zipcode_77005/realestate/for_sale,"4215 Emory Avenue, West University Place, TX 77005",41606541,"Single-Family Property, Contemporary/Modern Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,316","5,000",2,2 Garage(s) / Attached,1988,"1,150,000",FALSE,77005
1608476410-303,https://www.har.com/zipcode_77005/realestate/for_sale,"6320 Vanderbilt, Houston, TX 77005",58011955,"Single-Family Property, Traditional Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",5-6  Bed(s),6 Full & 1 Half Bath(s),"7,283","10,000",2,2 Garage(s) / Attached,2020,"3,995,000",FALSE,77005
1608476410-446,https://www.har.com/zipcode_77005/realestate/for_sale,"4292 Childress Street, Houston, TX 77005",15873170,"Single-Family Property, Other Style Style  in College Court Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"2,822","1,800",4,2 Garage(s) / Attached,2016,"655,000",FALSE,77005
1608476410-307,https://www.har.com/zipcode_77005/realestate/for_sale,"2215 Sunset Boulevard, Houston, TX 77005",91575672,"Single-Family Property, French,Traditional Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",6-7  Bed(s),7 Full & 2 Half Bath(s),"7,453","8,625",3,"3 Garage(s) / Attached,Oversized",2008,"2,895,000",TRUE,77005
1608476410-384,https://www.har.com/zipcode_77005/realestate/for_sale,"2725 Talbott Street, Houston, TX 77005",86627039,"Single-Family Property, Traditional Style  in Belle Court Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,352","6,100",2,2 Garage(s) / Detached,1988,"1,350,000",FALSE,77005
1608476410-456,https://www.har.com/zipcode_77005/realestate/for_sale,"4260 Childress Street A, Houston, TX 77005",52689202,"Townhouse/Condo - Townhouse Property, English,Traditional Style  in Hutchinson Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"2,906","2,648",3,2 Garage(s) / Attached,2001,"599,900",FALSE,77005
1608476410-380,https://www.har.com/zipcode_77005/realestate/for_sale,"6447 Vanderbilt Street, West University Place, TX 77005",63415299,"Single-Family Property, Spanish Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"3,528","5,000",2,2 Garage(s) / Attached,2003,"1,399,000",FALSE,77005
1608476410-324,https://www.har.com/zipcode_77005/realestate/for_sale,"3914 Purdue Street, Houston, TX 77005",39189595,"Single-Family Property, Contemporary/Modern Style  in Montclair Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),5 Full & 2 Half Bath(s),"5,370","7,408",2,"3 Garage(s) / Attached,Tandem",2020,"2,395,000",TRUE,77005
1608476410-353,https://www.har.com/zipcode_77005/realestate/for_sale,"3114 Quenby Avenue, Houston, TX 77005",82250197,"Single-Family Property, Contemporary/Modern Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),5 Full  Bath(s),"3,827","5,250",2,2 Garage(s) / Attached,2019,"1,724,000",FALSE,77005
1608476410-466,https://www.har.com/zipcode_77005/realestate/for_sale,"2520 Robinhood Street #1610, Houston, TX 77005",94502587,"Mid/Hi-Rise Condo Property,  in 2520 Robinhood  in Rice/Museum District (Market Area)",2 Bed(s),2 Full & 1 Half Bath(s),NA,NA,1,2 Parking,null,"350,000",FALSE,77005
1608476410-337,https://www.har.com/zipcode_77005/realestate/for_sale,"2804 Robinhood Street, Houston, TX 77005",39206299,"Single-Family Property, French Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),3 Full & 2 Half Bath(s),"4,352","6,153",2,2 Garage(s) / Attached,2014,"1,995,000",FALSE,77005
1608476410-331,https://www.har.com/zipcode_77005/realestate/for_sale,"3115 Robinhood Street, West University Place, TX 77005",82797497,"Single-Family Property, Traditional Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",5 Bed(s),5 Full & 2 Half Bath(s),"4,507","6,300",2,2 Garage(s) / Attached,2021,"2,195,000",FALSE,77005
1608476410-301,https://www.har.com/zipcode_77005/realestate/for_sale,"3219 University Boulevard, West University Place, TX 77005",43021081,"Single-Family Property, French,Traditional Style  in West University Place Subdivision  in West University/Southside Area (Market Area)",6-7  Bed(s),6 Full & 3 Half Bath(s),NA,"18,006",2,3 Garage(s) / Attached/Detached,2010,"4,500,000",FALSE,77005
1608476410-416,https://www.har.com/zipcode_77005/realestate/for_sale,"4214 Oberlin Street, West University Place, TX 77005",11852361,"Single-Family Property, Traditional Style  in Colonial Terrace Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full  Bath(s),"2,785","5,000",2,1 Garage(s) / Detached,2002,"999,000",FALSE,77005
1608476410-461,https://www.har.com/zipcode_77005/realestate/for_sale,"4247 Purdue Street B, Houston, TX 77005",64889960,"Single-Family Property, Contemporary/Modern Style  in Purdue Lofts Subdivision  in West University/Southside Area (Market Area)",2-3  Bed(s),2 Full & 1 Half Bath(s),"2,436","1,467",3,2 Garage(s) / Attached,2002,"529,000",FALSE,77005
1608476410-323,https://www.har.com/zipcode_77005/realestate/for_sale,"2011 Albans Road, Houston, TX 77005",80742903,"Single-Family Property, Contemporary/Modern Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",4-5  Bed(s),5 Full  Bath(s),"4,800","6,600",2,2 Garage(s) / Attached,2017,"2,395,000",TRUE,77005
1608476410-388,https://www.har.com/zipcode_77005/realestate/for_sale,"1801 Sunset Boulevard, Houston, TX 77005",96370959,"Single-Family Property, Colonial Style  in Southampton Place Subdivision  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),"2,259",NA,2,"9,122 Lot Sqft.",Pool,"1,299,000",FALSE,77005
1608476410-422,https://www.har.com/zipcode_77005/realestate/for_sale,"6328 Buffalo Speedway, Houston, TX 77005",38706434,"Single-Family Property, Contemporary/Modern Style  in West University Place Sec 01 Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),2 Full & 1 Half Bath(s),"3,145","7,500",2,2 Garage(s) / Attached,1992,"899,000",TRUE,77005
1608476410-397,https://www.har.com/zipcode_77005/realestate/for_sale,"3738 Childress Street, Houston, TX 77005",27544232,"Single-Family Property, Traditional Style  in Sunset Terrace Sec 12 Subdivision  in West University/Southside Area (Market Area)",6 Bed(s),5 Full & 1 Half Bath(s),"4,802","10,920",2,3 Garage(s) / Attached,2007,"1,249,000",FALSE,77005
1608476410-325,https://www.har.com/zipcode_77005/realestate/for_sale,"2918 Quenby Avenue, West University Place, TX 77005",49480582,"Single-Family Property, Traditional Style  in Monticello Subdivision  in West University/Southside Area (Market Area)",4-5  Bed(s),4 Full & 1 Half Bath(s),"4,167","11,655",2,2 Garage(s) / Attached,2002,"2,350,000",TRUE,77005
1608476410-435,https://www.har.com/zipcode_77005/realestate/for_sale,"2612 Cason Street, West University Place, TX 77005",84813955,"Single-Family Property, Traditional Style  in Belle Court Subdivision  in West University/Southside Area (Market Area)",3 Bed(s),1 Full  Bath(s),"1,286","6,000",1,2 Garage(s) / Detached,1950,"750,000",FALSE,77005
1608476410-389,https://www.har.com/zipcode_77005/realestate/for_sale,"3829 Oberlin Street, West University Place, TX 77005",97110211,"Single-Family Property, Traditional Style  in Collegeview Sec 01 Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),NA,"5,000",2,2 Garage(s) / Attached,2008,"1,299,000",FALSE,77005
1608476410-369,https://www.har.com/zipcode_77005/realestate/for_sale,"1742 Sunset Boulevard #402, Houston, TX 77005",51786824,"Mid/Hi-Rise Condo Property,  in Chateau Ten - Sunset  in Rice/Museum District (Market Area)",3 Bed(s),3 Full & 1 Half Bath(s),NA,NA,2,2 Parking,null,"1,525,000",FALSE,77005
1608476410-430,https://www.har.com/zipcode_77005/realestate/for_sale,"4123 Milton Street, Houston, TX 77005",62598106,"Single-Family Property, Other Style Style  in Colonial Terrace Sec C Subdivision  in West University/Southside Area (Market Area)",3-4  Bed(s),2 Full  Bath(s),"1,600","5,000",1,1 Garage(s) / Detached,1940,"800,000",FALSE,77005
1608476410-347,https://www.har.com/zipcode_77005/realestate/for_sale,"6357 Edloe Street, Southside Place, TX 77005",84638534,"Single-Family Property, Traditional Style  in Southside Place Subdivision  in West University/Southside Area (Market Area)",4 Bed(s),3 Full & 1 Half Bath(s),"3,662","9,300",2,2 Garage(s) / Detached,1938,"1,799,000",FALSE,77005
